data_source,claim_type,year_month,claim_count
medicare_lds,institutional,202006,749217
medicare_lds,institutional,202007,770067
medicare_lds,institutional,202008,744880
medicare_lds,institutional,202009,778790
medicare_lds,institutional,202010,809227
medicare_lds,institutional,202011,722719
medicare_lds,institutional,202012,699039
medicare_lds,professional,202001,3902687
medicare_lds,professional,202002,3517265
medicare_lds,professional,202003,2999563
medicare_lds,professional,202004,2188815
medicare_lds,professional,202005,2783172
medicare_lds,professional,202006,3480681
medicare_lds,professional,202007,3513905
medicare_lds,professional,202008,3457565
medicare_lds,professional,202009,3792048
medicare_lds,professional,202010,3884645
medicare_lds,professional,202011,3391427
medicare_lds,professional,202012,3487644
