DATA_SOURCE,ENCOUNTER_GROUP,ENCOUNTER_TYPE,YEAR_MONTH,CLAIM_COUNT
cms_synthetic,inpatient,acute inpatient,202008,57
cms_synthetic,inpatient,acute inpatient,202009,67
cms_synthetic,inpatient,acute inpatient,202010,73
cms_synthetic,inpatient,acute inpatient,202011,85
cms_synthetic,inpatient,acute inpatient,202012,98
cms_synthetic,inpatient,acute inpatient,202101,78
cms_synthetic,inpatient,acute inpatient,202102,59
cms_synthetic,inpatient,acute inpatient,202103,61
cms_synthetic,inpatient,acute inpatient,202104,65
cms_synthetic,inpatient,acute inpatient,202105,56
cms_synthetic,inpatient,acute inpatient,202106,68
cms_synthetic,inpatient,acute inpatient,202107,58
cms_synthetic,inpatient,acute inpatient,202108,68
cms_synthetic,inpatient,acute inpatient,202109,60
cms_synthetic,inpatient,acute inpatient,202110,65
cms_synthetic,inpatient,acute inpatient,202111,50
cms_synthetic,inpatient,acute inpatient,202112,53
cms_synthetic,inpatient,acute inpatient,202201,56
cms_synthetic,inpatient,acute inpatient,202202,34
cms_synthetic,inpatient,acute inpatient,202203,67
cms_synthetic,inpatient,acute inpatient,202204,69
cms_synthetic,inpatient,acute inpatient,202205,58
cms_synthetic,inpatient,acute inpatient,202206,75
cms_synthetic,inpatient,acute inpatient,202207,70
cms_synthetic,inpatient,acute inpatient,202208,54
cms_synthetic,inpatient,acute inpatient,202209,76
cms_synthetic,inpatient,acute inpatient,202210,63
cms_synthetic,inpatient,acute inpatient,202211,72
cms_synthetic,inpatient,acute inpatient,202212,67
cms_synthetic,inpatient,acute inpatient,202301,64
cms_synthetic,inpatient,acute inpatient,202302,63
cms_synthetic,inpatient,acute inpatient,202303,1
cms_synthetic,inpatient,inpatient psych,201503,4
cms_synthetic,inpatient,inpatient psych,201504,3
cms_synthetic,inpatient,inpatient psych,201505,2
cms_synthetic,inpatient,inpatient psych,201506,1
cms_synthetic,inpatient,inpatient psych,201507,1
cms_synthetic,inpatient,inpatient psych,201508,5
cms_synthetic,inpatient,inpatient psych,201509,5
cms_synthetic,inpatient,inpatient psych,201510,1
cms_synthetic,inpatient,inpatient psych,201511,1
cms_synthetic,inpatient,inpatient psych,201512,3
cms_synthetic,inpatient,inpatient psych,201601,2
cms_synthetic,inpatient,inpatient psych,201602,3
cms_synthetic,inpatient,inpatient psych,201603,1
cms_synthetic,inpatient,inpatient psych,201604,2
cms_synthetic,inpatient,inpatient psych,201605,3
cms_synthetic,inpatient,inpatient psych,201607,4
cms_synthetic,inpatient,inpatient psych,201608,3
cms_synthetic,inpatient,inpatient psych,201609,3
cms_synthetic,inpatient,inpatient psych,201610,1
cms_synthetic,inpatient,inpatient psych,201611,3
cms_synthetic,inpatient,inpatient psych,201612,2
cms_synthetic,inpatient,inpatient psych,201702,1
cms_synthetic,inpatient,inpatient psych,201704,1
cms_synthetic,inpatient,inpatient psych,201705,1
cms_synthetic,inpatient,inpatient psych,201706,2
cms_synthetic,inpatient,inpatient psych,201707,2
cms_synthetic,inpatient,inpatient psych,201708,2
cms_synthetic,inpatient,inpatient psych,201709,1
cms_synthetic,inpatient,inpatient psych,201710,2
cms_synthetic,inpatient,inpatient psych,201712,4
cms_synthetic,inpatient,inpatient psych,201801,5
cms_synthetic,inpatient,inpatient psych,201802,3
cms_synthetic,inpatient,inpatient psych,201803,5
cms_synthetic,inpatient,inpatient psych,201804,1
cms_synthetic,inpatient,inpatient psych,201806,1
cms_synthetic,inpatient,inpatient psych,201807,2
cms_synthetic,inpatient,inpatient psych,201808,1
cms_synthetic,inpatient,inpatient psych,201809,1
cms_synthetic,inpatient,inpatient psych,201810,1
cms_synthetic,inpatient,inpatient psych,201812,2
cms_synthetic,inpatient,inpatient psych,201901,3
cms_synthetic,inpatient,inpatient psych,201904,1
cms_synthetic,inpatient,inpatient psych,201905,2
cms_synthetic,inpatient,inpatient psych,201906,1
cms_synthetic,inpatient,inpatient psych,201907,4
cms_synthetic,inpatient,inpatient psych,201908,4
cms_synthetic,inpatient,inpatient psych,201909,2
cms_synthetic,inpatient,inpatient psych,201911,1
cms_synthetic,inpatient,inpatient psych,201912,2
cms_synthetic,inpatient,inpatient psych,202001,2
cms_synthetic,inpatient,inpatient psych,202002,1
cms_synthetic,inpatient,inpatient psych,202003,3
cms_synthetic,inpatient,inpatient psych,202004,1
cms_synthetic,inpatient,inpatient psych,202005,3
cms_synthetic,inpatient,inpatient psych,202006,1
cms_synthetic,inpatient,inpatient psych,202008,4
cms_synthetic,inpatient,inpatient psych,202010,2
cms_synthetic,inpatient,inpatient psych,202011,1
cms_synthetic,inpatient,inpatient psych,202012,1
cms_synthetic,inpatient,inpatient psych,202101,1
cms_synthetic,inpatient,inpatient psych,202102,3
cms_synthetic,inpatient,inpatient psych,202103,2
cms_synthetic,inpatient,inpatient psych,202104,4
cms_synthetic,inpatient,inpatient psych,202105,4
cms_synthetic,inpatient,inpatient psych,202106,3
cms_synthetic,inpatient,inpatient psych,202107,2
cms_synthetic,inpatient,inpatient psych,202108,3
cms_synthetic,inpatient,inpatient psych,202109,2
cms_synthetic,inpatient,inpatient psych,202110,1
cms_synthetic,inpatient,inpatient psych,202111,3
cms_synthetic,inpatient,inpatient psych,202112,1
cms_synthetic,inpatient,inpatient psych,202201,4
cms_synthetic,inpatient,inpatient psych,202202,1
cms_synthetic,inpatient,inpatient psych,202203,2
cms_synthetic,inpatient,inpatient psych,202204,3
cms_synthetic,inpatient,inpatient psych,202205,1
cms_synthetic,inpatient,inpatient psych,202207,3
cms_synthetic,inpatient,inpatient psych,202208,5
cms_synthetic,inpatient,inpatient psych,202209,3
cms_synthetic,inpatient,inpatient psych,202210,1
cms_synthetic,inpatient,inpatient psych,202211,4
cms_synthetic,inpatient,inpatient psych,202212,1
cms_synthetic,inpatient,inpatient psych,202301,1
cms_synthetic,inpatient,inpatient psych,202302,2
cms_synthetic,inpatient,inpatient rehabilitation,201503,1
cms_synthetic,inpatient,inpatient rehabilitation,201504,2
cms_synthetic,inpatient,inpatient rehabilitation,201507,2
cms_synthetic,inpatient,inpatient rehabilitation,201508,2
cms_synthetic,inpatient,inpatient rehabilitation,201509,1
cms_synthetic,inpatient,inpatient rehabilitation,201510,2
cms_synthetic,inpatient,inpatient rehabilitation,201511,2
cms_synthetic,inpatient,inpatient rehabilitation,201512,2
cms_synthetic,inpatient,inpatient rehabilitation,201601,1
cms_synthetic,inpatient,inpatient rehabilitation,201603,2
cms_synthetic,inpatient,inpatient rehabilitation,201605,1
cms_synthetic,inpatient,inpatient rehabilitation,201608,1
cms_synthetic,inpatient,inpatient rehabilitation,201610,3
cms_synthetic,inpatient,inpatient rehabilitation,201612,2
cms_synthetic,inpatient,inpatient rehabilitation,201701,2
cms_synthetic,inpatient,inpatient rehabilitation,201702,1
cms_synthetic,inpatient,inpatient rehabilitation,201703,2
cms_synthetic,inpatient,inpatient rehabilitation,201704,1
cms_synthetic,inpatient,inpatient rehabilitation,201705,3
cms_synthetic,inpatient,inpatient rehabilitation,201706,1
cms_synthetic,inpatient,inpatient rehabilitation,201707,1
cms_synthetic,inpatient,inpatient rehabilitation,201708,4
cms_synthetic,inpatient,inpatient rehabilitation,201709,2
cms_synthetic,inpatient,inpatient rehabilitation,201710,2
cms_synthetic,inpatient,inpatient rehabilitation,201711,1
cms_synthetic,inpatient,inpatient rehabilitation,201712,1
cms_synthetic,inpatient,inpatient rehabilitation,201801,3
cms_synthetic,inpatient,inpatient rehabilitation,201802,1
cms_synthetic,inpatient,inpatient rehabilitation,201803,1
cms_synthetic,inpatient,inpatient rehabilitation,201805,2
cms_synthetic,inpatient,inpatient rehabilitation,201806,2
cms_synthetic,inpatient,inpatient rehabilitation,201807,1
cms_synthetic,inpatient,inpatient rehabilitation,201808,3
cms_synthetic,inpatient,inpatient rehabilitation,201809,3
cms_synthetic,inpatient,inpatient rehabilitation,201810,3
cms_synthetic,inpatient,inpatient rehabilitation,201811,1
cms_synthetic,inpatient,inpatient rehabilitation,201812,1
cms_synthetic,inpatient,inpatient rehabilitation,201901,1
cms_synthetic,inpatient,inpatient rehabilitation,201902,2
cms_synthetic,inpatient,inpatient rehabilitation,201903,1
cms_synthetic,inpatient,inpatient rehabilitation,201905,3
cms_synthetic,inpatient,inpatient rehabilitation,201906,1
cms_synthetic,inpatient,inpatient rehabilitation,201907,3
cms_synthetic,inpatient,inpatient rehabilitation,201908,3
cms_synthetic,inpatient,inpatient rehabilitation,201909,1
cms_synthetic,inpatient,inpatient rehabilitation,201910,1
cms_synthetic,inpatient,inpatient rehabilitation,201911,1
cms_synthetic,inpatient,inpatient rehabilitation,201912,2
cms_synthetic,inpatient,inpatient rehabilitation,202002,2
cms_synthetic,inpatient,inpatient rehabilitation,202004,2
cms_synthetic,inpatient,inpatient rehabilitation,202005,1
cms_synthetic,inpatient,inpatient rehabilitation,202006,2
cms_synthetic,inpatient,inpatient rehabilitation,202007,2
cms_synthetic,inpatient,inpatient rehabilitation,202008,3
cms_synthetic,inpatient,inpatient rehabilitation,202009,1
cms_synthetic,inpatient,inpatient rehabilitation,202010,1
cms_synthetic,inpatient,inpatient rehabilitation,202011,2
cms_synthetic,inpatient,inpatient rehabilitation,202101,1
cms_synthetic,inpatient,inpatient rehabilitation,202103,2
cms_synthetic,inpatient,inpatient rehabilitation,202104,2
cms_synthetic,inpatient,inpatient rehabilitation,202105,2
cms_synthetic,inpatient,inpatient rehabilitation,202106,2
cms_synthetic,inpatient,inpatient rehabilitation,202107,6
cms_synthetic,inpatient,inpatient rehabilitation,202108,1
cms_synthetic,inpatient,inpatient rehabilitation,202109,3
cms_synthetic,inpatient,inpatient rehabilitation,202110,3
cms_synthetic,inpatient,inpatient rehabilitation,202111,2
cms_synthetic,inpatient,inpatient rehabilitation,202112,1
cms_synthetic,inpatient,inpatient rehabilitation,202201,2
cms_synthetic,inpatient,inpatient rehabilitation,202202,1
cms_synthetic,inpatient,inpatient rehabilitation,202204,1
cms_synthetic,inpatient,inpatient rehabilitation,202205,3
cms_synthetic,inpatient,inpatient rehabilitation,202206,5
cms_synthetic,inpatient,inpatient rehabilitation,202207,2
cms_synthetic,inpatient,inpatient rehabilitation,202208,3
cms_synthetic,inpatient,inpatient rehabilitation,202210,4
cms_synthetic,inpatient,inpatient rehabilitation,202211,4
cms_synthetic,inpatient,inpatient rehabilitation,202212,6
cms_synthetic,inpatient,inpatient rehabilitation,202301,1
cms_synthetic,inpatient,inpatient skilled nursing,201501,2
cms_synthetic,inpatient,inpatient skilled nursing,201502,3
cms_synthetic,inpatient,inpatient skilled nursing,201503,31
cms_synthetic,inpatient,inpatient skilled nursing,201504,31
cms_synthetic,inpatient,inpatient skilled nursing,201505,23
cms_synthetic,inpatient,inpatient skilled nursing,201506,29
cms_synthetic,inpatient,inpatient skilled nursing,201507,34
cms_synthetic,inpatient,inpatient skilled nursing,201508,35
cms_synthetic,inpatient,inpatient skilled nursing,201509,17
cms_synthetic,inpatient,inpatient skilled nursing,201510,34
cms_synthetic,inpatient,inpatient skilled nursing,201511,38
cms_synthetic,inpatient,inpatient skilled nursing,201512,20
cms_synthetic,inpatient,inpatient skilled nursing,201601,38
cms_synthetic,inpatient,inpatient skilled nursing,201602,28
cms_synthetic,inpatient,inpatient skilled nursing,201603,26
cms_synthetic,inpatient,inpatient skilled nursing,201604,38
cms_synthetic,inpatient,inpatient skilled nursing,201605,27
cms_synthetic,inpatient,inpatient skilled nursing,201606,24
cms_synthetic,inpatient,inpatient skilled nursing,201607,22
cms_synthetic,inpatient,inpatient skilled nursing,201608,15
cms_synthetic,inpatient,inpatient skilled nursing,201609,31
cms_synthetic,inpatient,inpatient skilled nursing,201610,31
cms_synthetic,inpatient,inpatient skilled nursing,201611,33
cms_synthetic,inpatient,inpatient skilled nursing,201612,32
cms_synthetic,inpatient,inpatient skilled nursing,201701,28
cms_synthetic,inpatient,inpatient skilled nursing,201702,35
cms_synthetic,inpatient,inpatient skilled nursing,201703,27
cms_synthetic,inpatient,inpatient skilled nursing,201704,20
cms_synthetic,inpatient,inpatient skilled nursing,201705,33
cms_synthetic,inpatient,inpatient skilled nursing,201706,31
cms_synthetic,inpatient,inpatient skilled nursing,201707,43
cms_synthetic,inpatient,inpatient skilled nursing,201708,38
cms_synthetic,inpatient,inpatient skilled nursing,201709,26
cms_synthetic,inpatient,inpatient skilled nursing,201710,25
cms_synthetic,inpatient,inpatient skilled nursing,201711,21
cms_synthetic,inpatient,inpatient skilled nursing,201712,32
cms_synthetic,inpatient,inpatient skilled nursing,201801,33
cms_synthetic,inpatient,inpatient skilled nursing,201802,23
cms_synthetic,inpatient,inpatient skilled nursing,201803,39
cms_synthetic,inpatient,inpatient skilled nursing,201804,33
cms_synthetic,inpatient,inpatient skilled nursing,201805,23
cms_synthetic,inpatient,inpatient skilled nursing,201806,23
cms_synthetic,inpatient,inpatient skilled nursing,201807,27
cms_synthetic,inpatient,inpatient skilled nursing,201808,32
cms_synthetic,inpatient,inpatient skilled nursing,201809,25
cms_synthetic,inpatient,inpatient skilled nursing,201810,34
cms_synthetic,inpatient,inpatient skilled nursing,201811,36
cms_synthetic,inpatient,inpatient skilled nursing,201812,57
cms_synthetic,inpatient,inpatient skilled nursing,201901,49
cms_synthetic,inpatient,inpatient skilled nursing,201902,27
cms_synthetic,inpatient,inpatient skilled nursing,201903,41
cms_synthetic,inpatient,inpatient skilled nursing,201904,44
cms_synthetic,inpatient,inpatient skilled nursing,201905,33
cms_synthetic,inpatient,inpatient skilled nursing,201906,40
cms_synthetic,inpatient,inpatient skilled nursing,201907,43
cms_synthetic,inpatient,inpatient skilled nursing,201908,39
cms_synthetic,inpatient,inpatient skilled nursing,201909,34
cms_synthetic,inpatient,inpatient skilled nursing,201910,29
cms_synthetic,inpatient,inpatient skilled nursing,201911,47
cms_synthetic,inpatient,inpatient skilled nursing,201912,32
cms_synthetic,inpatient,inpatient skilled nursing,202001,36
cms_synthetic,inpatient,inpatient skilled nursing,202002,35
cms_synthetic,inpatient,inpatient skilled nursing,202003,22
cms_synthetic,inpatient,inpatient skilled nursing,202004,34
cms_synthetic,inpatient,inpatient skilled nursing,202005,47
cms_synthetic,inpatient,inpatient skilled nursing,202006,39
cms_synthetic,inpatient,inpatient skilled nursing,202007,48
cms_synthetic,inpatient,inpatient skilled nursing,202008,40
cms_synthetic,inpatient,inpatient skilled nursing,202009,41
cms_synthetic,inpatient,inpatient skilled nursing,202010,30
cms_synthetic,inpatient,inpatient skilled nursing,202011,18
cms_synthetic,inpatient,inpatient skilled nursing,202012,48
cms_synthetic,inpatient,inpatient skilled nursing,202101,43
cms_synthetic,inpatient,inpatient skilled nursing,202102,29
cms_synthetic,inpatient,inpatient skilled nursing,202103,21
cms_synthetic,inpatient,inpatient skilled nursing,202104,33
cms_synthetic,inpatient,inpatient skilled nursing,202105,45
cms_synthetic,inpatient,inpatient skilled nursing,202106,39
cms_synthetic,inpatient,inpatient skilled nursing,202107,34
cms_synthetic,inpatient,inpatient skilled nursing,202108,47
cms_synthetic,inpatient,inpatient skilled nursing,202109,52
cms_synthetic,inpatient,inpatient skilled nursing,202110,54
cms_synthetic,inpatient,inpatient skilled nursing,202111,43
cms_synthetic,inpatient,inpatient skilled nursing,202112,40
cms_synthetic,inpatient,inpatient skilled nursing,202201,36
cms_synthetic,inpatient,inpatient skilled nursing,202202,25
cms_synthetic,inpatient,inpatient skilled nursing,202203,42
cms_synthetic,inpatient,inpatient skilled nursing,202204,40
cms_synthetic,inpatient,inpatient skilled nursing,202205,41
cms_synthetic,inpatient,inpatient skilled nursing,202206,43
cms_synthetic,inpatient,inpatient skilled nursing,202207,45
cms_synthetic,inpatient,inpatient skilled nursing,202208,40
cms_synthetic,inpatient,inpatient skilled nursing,202209,44
cms_synthetic,inpatient,inpatient skilled nursing,202210,39
cms_synthetic,inpatient,inpatient skilled nursing,202211,52
cms_synthetic,inpatient,inpatient skilled nursing,202212,39
cms_synthetic,inpatient,inpatient skilled nursing,202301,26
cms_synthetic,inpatient,inpatient skilled nursing,202302,25
cms_synthetic,inpatient,inpatient skilled nursing,202303,1
cms_synthetic,office based,office visit,201503,125
cms_synthetic,office based,office visit,201504,211
cms_synthetic,office based,office visit,201505,179
cms_synthetic,office based,office visit,201506,214
cms_synthetic,office based,office visit,201507,173
cms_synthetic,office based,office visit,201508,219
cms_synthetic,office based,office visit,201509,192
cms_synthetic,office based,office visit,201510,210
cms_synthetic,office based,office visit,201511,206
cms_synthetic,office based,office visit,201512,200
cms_synthetic,office based,office visit,201601,223
cms_synthetic,office based,office visit,201602,252
cms_synthetic,office based,office visit,201603,255
cms_synthetic,office based,office visit,201604,200
cms_synthetic,office based,office visit,201605,204
cms_synthetic,office based,office visit,201606,226
cms_synthetic,office based,office visit,201607,207
cms_synthetic,office based,office visit,201608,196
cms_synthetic,office based,office visit,201609,195
cms_synthetic,office based,office visit,201610,233
cms_synthetic,office based,office visit,201611,196
cms_synthetic,office based,office visit,201612,199
cms_synthetic,office based,office visit,201701,242
cms_synthetic,office based,office visit,201702,187
cms_synthetic,office based,office visit,201703,269
cms_synthetic,office based,office visit,201704,205
cms_synthetic,office based,office visit,201705,245
cms_synthetic,office based,office visit,201706,225
cms_synthetic,office based,office visit,201707,230
cms_synthetic,office based,office visit,201708,200
cms_synthetic,office based,office visit,201709,229
cms_synthetic,office based,office visit,201710,236
cms_synthetic,office based,office visit,201711,192
cms_synthetic,office based,office visit,201712,247
cms_synthetic,office based,office visit,201801,261
cms_synthetic,office based,office visit,201802,205
cms_synthetic,office based,office visit,201803,293
cms_synthetic,office based,office visit,201804,213
cms_synthetic,office based,office visit,201805,247
cms_synthetic,office based,office visit,201806,233
cms_synthetic,office based,office visit,201807,242
cms_synthetic,office based,office visit,201808,247
cms_synthetic,office based,office visit,201809,238
cms_synthetic,office based,office visit,201810,213
cms_synthetic,office based,office visit,201811,213
cms_synthetic,office based,office visit,201812,257
cms_synthetic,office based,office visit,201901,225
cms_synthetic,office based,office visit,201902,188
cms_synthetic,office based,office visit,201903,373
cms_synthetic,office based,office visit,201904,223
cms_synthetic,office based,office visit,201905,273
cms_synthetic,office based,office visit,201906,242
cms_synthetic,office based,office visit,201907,272
cms_synthetic,office based,office visit,201908,263
cms_synthetic,office based,office visit,201909,249
cms_synthetic,office based,office visit,201910,253
cms_synthetic,office based,office visit,201911,238
cms_synthetic,office based,office visit,201912,273
cms_synthetic,office based,office visit,202001,274
cms_synthetic,office based,office visit,202002,252
cms_synthetic,office based,office visit,202003,352
cms_synthetic,office based,office visit,202004,288
cms_synthetic,office based,office visit,202005,256
cms_synthetic,office based,office visit,202006,279
cms_synthetic,office based,office visit,202007,285
cms_synthetic,office based,office visit,202008,260
cms_synthetic,office based,office visit,202009,248
cms_synthetic,office based,office visit,202010,263
cms_synthetic,office based,office visit,202011,217
cms_synthetic,office based,office visit,202012,247
cms_synthetic,office based,office visit,202101,264
cms_synthetic,office based,office visit,202102,258
cms_synthetic,office based,office visit,202103,380
cms_synthetic,office based,office visit,202104,289
cms_synthetic,office based,office visit,202105,303
cms_synthetic,office based,office visit,202106,287
cms_synthetic,office based,office visit,202107,288
cms_synthetic,office based,office visit,202108,286
cms_synthetic,office based,office visit,202109,288
cms_synthetic,office based,office visit,202110,296
cms_synthetic,office based,office visit,202111,326
cms_synthetic,office based,office visit,202112,262
cms_synthetic,office based,office visit,202201,289
cms_synthetic,office based,office visit,202202,279
cms_synthetic,office based,office visit,202203,319
cms_synthetic,office based,office visit,202204,376
cms_synthetic,office based,office visit,202205,278
cms_synthetic,office based,office visit,202206,286
cms_synthetic,office based,office visit,202207,272
cms_synthetic,office based,office visit,202208,304
cms_synthetic,office based,office visit,202209,310
cms_synthetic,office based,office visit,202210,313
cms_synthetic,office based,office visit,202211,326
cms_synthetic,office based,office visit,202212,279
cms_synthetic,office based,office visit,202301,273
cms_synthetic,office based,office visit,202302,297
cms_synthetic,office based,office visit,202303,16
cms_synthetic,office based,office visit - other,201503,431
cms_synthetic,office based,office visit - other,201504,575
cms_synthetic,office based,office visit - other,201505,577
cms_synthetic,office based,office visit - other,201506,560
cms_synthetic,office based,office visit - other,201507,567
cms_synthetic,office based,office visit - other,201508,568
cms_synthetic,office based,office visit - other,201509,558
cms_synthetic,office based,office visit - other,201510,584
cms_synthetic,office based,office visit - other,201511,570
cms_synthetic,office based,office visit - other,201512,592
cms_synthetic,office based,office visit - other,201601,570
cms_synthetic,office based,office visit - other,201602,748
cms_synthetic,office based,office visit - other,201603,629
cms_synthetic,office based,office visit - other,201604,624
cms_synthetic,office based,office visit - other,201605,633
cms_synthetic,office based,office visit - other,201606,586
cms_synthetic,office based,office visit - other,201607,666
cms_synthetic,office based,office visit - other,201608,613
cms_synthetic,office based,office visit - other,201609,615
cms_synthetic,office based,office visit - other,201610,626
cms_synthetic,office based,office visit - other,201611,633
cms_synthetic,office based,office visit - other,201612,660
cms_synthetic,office based,office visit - other,201701,630
cms_synthetic,office based,office visit - other,201702,578
cms_synthetic,office based,office visit - other,201703,897
cms_synthetic,office based,office visit - other,201704,619
cms_synthetic,office based,office visit - other,201705,683
cms_synthetic,office based,office visit - other,201706,646
cms_synthetic,office based,office visit - other,201707,655
cms_synthetic,office based,office visit - other,201708,686
cms_synthetic,office based,office visit - other,201709,657
cms_synthetic,office based,office visit - other,201710,663
cms_synthetic,office based,office visit - other,201711,647
cms_synthetic,office based,office visit - other,201712,698
cms_synthetic,office based,office visit - other,201801,624
cms_synthetic,office based,office visit - other,201802,585
cms_synthetic,office based,office visit - other,201803,950
cms_synthetic,office based,office visit - other,201804,611
cms_synthetic,office based,office visit - other,201805,745
cms_synthetic,office based,office visit - other,201806,672
cms_synthetic,office based,office visit - other,201807,769
cms_synthetic,office based,office visit - other,201808,678
cms_synthetic,office based,office visit - other,201809,714
cms_synthetic,office based,office visit - other,201810,765
cms_synthetic,office based,office visit - other,201811,682
cms_synthetic,office based,office visit - other,201812,701
cms_synthetic,office based,office visit - other,201901,721
cms_synthetic,office based,office visit - other,201902,625
cms_synthetic,office based,office visit - other,201903,958
cms_synthetic,office based,office visit - other,201904,692
cms_synthetic,office based,office visit - other,201905,756
cms_synthetic,office based,office visit - other,201906,745
cms_synthetic,office based,office visit - other,201907,738
cms_synthetic,office based,office visit - other,201908,705
cms_synthetic,office based,office visit - other,201909,704
cms_synthetic,office based,office visit - other,201910,796
cms_synthetic,office based,office visit - other,201911,710
cms_synthetic,office based,office visit - other,201912,768
cms_synthetic,office based,office visit - other,202001,708
cms_synthetic,office based,office visit - other,202002,672
cms_synthetic,office based,office visit - other,202003,1000
cms_synthetic,office based,office visit - other,202004,729
cms_synthetic,office based,office visit - other,202005,807
cms_synthetic,office based,office visit - other,202006,755
cms_synthetic,office based,office visit - other,202007,779
cms_synthetic,office based,office visit - other,202008,807
cms_synthetic,office based,office visit - other,202009,828
cms_synthetic,office based,office visit - other,202010,802
cms_synthetic,office based,office visit - other,202011,760
cms_synthetic,office based,office visit - other,202012,821
cms_synthetic,office based,office visit - other,202101,830
cms_synthetic,office based,office visit - other,202102,695
cms_synthetic,office based,office visit - other,202103,1084
cms_synthetic,office based,office visit - other,202104,825
cms_synthetic,office based,office visit - other,202105,797
cms_synthetic,office based,office visit - other,202106,815
cms_synthetic,office based,office visit - other,202107,819
cms_synthetic,office based,office visit - other,202108,842
cms_synthetic,office based,office visit - other,202109,827
cms_synthetic,office based,office visit - other,202110,815
cms_synthetic,office based,office visit - other,202111,817
cms_synthetic,office based,office visit - other,202112,870
cms_synthetic,office based,office visit - other,202201,845
cms_synthetic,office based,office visit - other,202202,785
cms_synthetic,office based,office visit - other,202203,966
cms_synthetic,office based,office visit - other,202204,1048
cms_synthetic,office based,office visit - other,202205,925
cms_synthetic,office based,office visit - other,202206,934
cms_synthetic,office based,office visit - other,202207,915
cms_synthetic,office based,office visit - other,202208,949
cms_synthetic,office based,office visit - other,202209,904
cms_synthetic,office based,office visit - other,202210,874
cms_synthetic,office based,office visit - other,202211,898
cms_synthetic,office based,office visit - other,202212,897
cms_synthetic,office based,office visit - other,202301,971
cms_synthetic,office based,office visit - other,202302,842
cms_synthetic,office based,office visit - other,202303,56
cms_synthetic,office based,office visit pt/ot/st,201503,10
cms_synthetic,office based,office visit pt/ot/st,201504,13
cms_synthetic,office based,office visit pt/ot/st,201505,17
